,Attribute,Indicator,ProgIndicator,Score,Department Code,Course Number,Course Name,Instructor's Last Name,Instructor's First Name,Term,Year,Cohort,Type
357061292,Design,Apply analytical techniques to design and improve methods and processes,,0.5,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
837310284,Design,Apply analytical techniques to design and improve methods and processes,,0.36,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
815854164,Design,Apply analytical techniques to design and improve methods and processes,,0.62,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
315378369,Design,Apply analytical techniques to design and improve methods and processes,,0.36,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
564410540,Design,Apply analytical techniques to design and improve methods and processes,,0.72,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
126539887,Design,Apply analytical techniques to design and improve methods and processes,,0.62,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
563937624,Design,Apply analytical techniques to design and improve methods and processes,,0.2,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
684291511,Design,Apply analytical techniques to design and improve methods and processes,,0.52,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
598829620,Design,Design and conduct an experiment to test a proposed system change,,0.15,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
684014860,Design,Design and conduct an experiment to test a proposed system change,,0.56,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
843228181,Design,Design and conduct an experiment to test a proposed system change,,0.61,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
820549378,Design,Design and conduct an experiment to test a proposed system change,,0.32,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
533572169,Design,Design and conduct an experiment to test a proposed system change,,0.3,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
975325712,Design,Design and conduct an experiment to test a proposed system change,,0.4,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
310082419,Design,Design and conduct an experiment to test a proposed system change,,0.04,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
242132470,Design,Design and conduct an experiment to test a proposed system change,,0.11,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
208248363,Design,Design and conduct an experiment to test a proposed system change,,0.51,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
277055951,Design,Design and conduct an experiment to test a proposed system change,,0.26,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
902907559,Design,Design and conduct an experiment to test a proposed system change,,0.86,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
528297980,Design,Design and conduct an experiment to test a proposed system change,,0.58,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
444882790,Design,Design and conduct an experiment to test a proposed system change,,0.05,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
112085131,Design,Design and conduct an experiment to test a proposed system change,,0.13,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
588642518,Design,Design and conduct an experiment to test a proposed system change,,0.94,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
414520736,Design,Design and conduct an experiment to test a proposed system change,,0.81,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
356558346,Design,Design and conduct an experiment to test a proposed system change,,0.43,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
970698993,Design,Design and conduct an experiment to test a proposed system change,,0.95,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
633537205,Design,Design and conduct an experiment to test a proposed system change,,0.36,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
534292868,Design,Design and conduct an experiment to test a proposed system change,,0.9,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
816787809,Design,Design and conduct an experiment to test a proposed system change,,0.47,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
220052551,Design,Design and conduct an experiment to test a proposed system change,,0.74,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
858571733,Design,Design and conduct an experiment to test a proposed system change,,0.19,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
363436152,Design,Design and conduct an experiment to test a proposed system change,,0.21,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
393495083,Design,Design and conduct an experiment to test a proposed system change,,0.91,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
769635714,Design,Design and conduct an experiment to test a proposed system change,,0.88,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
373048949,Design,Design and conduct an experiment to test a proposed system change,,0.8,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
357061292,Design,Design and conduct an experiment to test a proposed system change,,0.1,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
837310284,Design,Design and conduct an experiment to test a proposed system change,,0.45,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
815854164,Design,Design and conduct an experiment to test a proposed system change,,0.89,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
315378369,Design,Design and conduct an experiment to test a proposed system change,,0.12,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
564410540,Design,Design and conduct an experiment to test a proposed system change,,0.21,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
126539887,Design,Design and conduct an experiment to test a proposed system change,,0.07,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
563937624,Design,Design and conduct an experiment to test a proposed system change,,0.05,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
684291511,Design,Design and conduct an experiment to test a proposed system change,,0.37,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
598829620,Design,Generate a diverse set of candidate engineering design solutions,,0.15,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
684014860,Design,Generate a diverse set of candidate engineering design solutions,,0.56,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
843228181,Design,Generate a diverse set of candidate engineering design solutions,,0.61,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
820549378,Design,Generate a diverse set of candidate engineering design solutions,,0.32,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
533572169,Design,Generate a diverse set of candidate engineering design solutions,,0.3,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
975325712,Design,Generate a diverse set of candidate engineering design solutions,,0.4,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
310082419,Design,Generate a diverse set of candidate engineering design solutions,,0.04,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
242132470,Design,Generate a diverse set of candidate engineering design solutions,,0.11,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
208248363,Design,Generate a diverse set of candidate engineering design solutions,,0.51,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
277055951,Design,Generate a diverse set of candidate engineering design solutions,,0.26,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
902907559,Design,Generate a diverse set of candidate engineering design solutions,,0.86,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
528297980,Design,Generate a diverse set of candidate engineering design solutions,,0.58,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
444882790,Design,Generate a diverse set of candidate engineering design solutions,,0.05,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
112085131,Design,Generate a diverse set of candidate engineering design solutions,,0.13,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
588642518,Design,Generate a diverse set of candidate engineering design solutions,,0.94,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
414520736,Design,Generate a diverse set of candidate engineering design solutions,,0.81,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
356558346,Design,Generate a diverse set of candidate engineering design solutions,,0.43,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
970698993,Design,Generate a diverse set of candidate engineering design solutions,,0.95,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
633537205,Design,Generate a diverse set of candidate engineering design solutions,,0.36,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
534292868,Design,Generate a diverse set of candidate engineering design solutions,,0.9,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
816787809,Design,Generate a diverse set of candidate engineering design solutions,,0.47,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
220052551,Design,Generate a diverse set of candidate engineering design solutions,,0.74,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
858571733,Design,Generate a diverse set of candidate engineering design solutions,,0.19,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
363436152,Design,Generate a diverse set of candidate engineering design solutions,,0.21,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
393495083,Design,Generate a diverse set of candidate engineering design solutions,,0.91,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
769635714,Design,Generate a diverse set of candidate engineering design solutions,,0.88,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
373048949,Design,Generate a diverse set of candidate engineering design solutions,,0.8,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
357061292,Design,Generate a diverse set of candidate engineering design solutions,,0.1,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
837310284,Design,Generate a diverse set of candidate engineering design solutions,,0.45,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
815854164,Design,Generate a diverse set of candidate engineering design solutions,,0.89,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
315378369,Design,Generate a diverse set of candidate engineering design solutions,,0.12,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
564410540,Design,Generate a diverse set of candidate engineering design solutions,,0.21,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
126539887,Design,Generate a diverse set of candidate engineering design solutions,,0.07,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
563937624,Design,Generate a diverse set of candidate engineering design solutions,,0.05,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
684291511,Design,Generate a diverse set of candidate engineering design solutions,,0.37,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
598829620,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.4,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
684014860,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.56,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
843228181,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.42,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
820549378,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.26,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
533572169,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.04,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
975325712,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.36,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
310082419,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.22,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
242132470,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.56,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
208248363,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.4,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
277055951,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
902907559,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.12,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
528297980,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.62,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
444882790,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.14,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
112085131,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.18,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
588642518,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.68,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
414520736,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.14,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
356558346,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.04,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
970698993,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.08,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
633537205,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.1,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
534292868,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.08,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
816787809,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.64,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
220052551,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.14,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
858571733,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.16,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
363436152,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.46,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
393495083,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.18,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
769635714,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.64,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
373048949,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.3,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
357061292,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.5,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
837310284,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.36,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
815854164,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.62,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
315378369,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.36,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
564410540,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.72,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
126539887,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.62,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
563937624,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.2,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
684291511,Design,Build relevant models that provide valuable insights for operational and/or strategic decision making,,0.52,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
598829620,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.29,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
684014860,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.49,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
843228181,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.54,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
820549378,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.46,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
533572169,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.38,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
975325712,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.42,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
310082419,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.3,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
242132470,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.36,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
208248363,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.54,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
277055951,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.37,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
902907559,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.52,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
528297980,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.61,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
444882790,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.33,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
112085131,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.28,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
588642518,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.51,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
414520736,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.55,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
356558346,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.4,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
970698993,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.52,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
633537205,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.26,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
534292868,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.44,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
816787809,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.57,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
220052551,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.54,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
858571733,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.23,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
363436152,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.42,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
393495083,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.47,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
769635714,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.6,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
373048949,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.6,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
357061292,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.43,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
837310284,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.4,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
815854164,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.51,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
315378369,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.24,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
564410540,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.51,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
126539887,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.48,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
563937624,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.41,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
684291511,Use of Engineering Tools,"Implement optimization approaches in real-life applications using different mathematical software (e.g. Matlab, Cplex, Gurobi, Lindo, Excel solver)",,0.52,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
598829620,Use of Engineering Tools,Build database applications using the php programming language,,0.4,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
684014860,Use of Engineering Tools,Build database applications using the php programming language,,0.56,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
843228181,Use of Engineering Tools,Build database applications using the php programming language,,0.42,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
820549378,Use of Engineering Tools,Build database applications using the php programming language,,0.26,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
533572169,Use of Engineering Tools,Build database applications using the php programming language,,0.04,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
975325712,Use of Engineering Tools,Build database applications using the php programming language,,0.36,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
310082419,Use of Engineering Tools,Build database applications using the php programming language,,0.22,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
242132470,Use of Engineering Tools,Build database applications using the php programming language,,0.56,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
208248363,Use of Engineering Tools,Build database applications using the php programming language,,0.4,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
277055951,Use of Engineering Tools,Build database applications using the php programming language,,0,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
902907559,Use of Engineering Tools,Build database applications using the php programming language,,0.12,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
528297980,Use of Engineering Tools,Build database applications using the php programming language,,0.62,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
444882790,Use of Engineering Tools,Build database applications using the php programming language,,0.14,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
112085131,Use of Engineering Tools,Build database applications using the php programming language,,0.18,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
588642518,Use of Engineering Tools,Build database applications using the php programming language,,0.68,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
414520736,Use of Engineering Tools,Build database applications using the php programming language,,0.14,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
356558346,Use of Engineering Tools,Build database applications using the php programming language,,0.04,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
970698993,Use of Engineering Tools,Build database applications using the php programming language,,0.08,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
633537205,Use of Engineering Tools,Build database applications using the php programming language,,0.1,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
534292868,Use of Engineering Tools,Build database applications using the php programming language,,0.08,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
816787809,Use of Engineering Tools,Build database applications using the php programming language,,0.64,Msci,261x,TestCourse,Pirnia,Mehrdad,Spring ,2016,2A,Option
